id,label,category,provider,outputKind,executionSite,executionPattern,wave,layers,envKey,handlerFiles,auditDocs,gaps
"ace-step","ACE-Step (Music + Vocals)","audio-gen","fal","audio","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling","no-backend-test"
"array-builder","Array Builder","utility","utility","any","local-engine","sync","W0","node|local-handler","","","",""
"array-selector","Array Selector","utility","utility","any","local-engine","sync","W0","node|local-handler","","","",""
"audio-input","Audio Input","utility","utility","audio","local-engine","sync","W0","node|local-handler|media-output","","","","file-param-ipados"
"character","Character","character","utility","character","async-registry","sync","W5","node|handler","","character_node","","no-provider-audit|file-param-ipados"
"cinema-color","Cinema Color","cinematic","utility","image","async-registry","sync","W5","node|handler|ffmpeg","","cinema_color","","no-provider-audit|file-param-ipados"
"cinema-look","Cinema Look","cinematic","utility","image","async-registry","sync","W5","node|handler|ffmpeg","","cinema_look","","no-provider-audit|file-param-ipados"
"cinema-scene","Cinema Scene","cinematic","utility","any","async-registry","async-poll","W5","node|handler|async-poll|ffmpeg","","cinema_scene","","no-provider-audit"
"clarity-upscaler","Clarity Upscaler","transform","fal","image","async-registry","async-poll","W3","node|handler|async-poll|keychain|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling","no-backend-test"
"claude-chat","Claude","text-gen","anthropic","text","async-registry","stream","W1","node|handler|stream|keychain|provider-audit","ANTHROPIC_API_KEY","","anthropic/claude-chat","handler-file-unclear"
"combine-text","Combine Text","utility","utility","text","local-engine","sync","W0","node|local-handler","","","",""
"demucs","Demucs (Stem Separation)","audio-gen","fal","audio","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","","fal/fal-universal|fal/flux|fal/kling","handler-file-unclear"
"document-input","Document Input","utility","utility","text","local-engine","sync","W0","node|local-handler","","","","file-param-ipados"
"elevenlabs-dubbing","ElevenLabs Dubbing","audio-gen","elevenlabs","audio","sync-handler","sync","W4","node|handler|keychain|media-output|provider-audit","ELEVENLABS_API_KEY","elevenlabs","elevenlabs/elevenlabs",""
"elevenlabs-isolation","ElevenLabs Audio Isolation","audio-gen","elevenlabs","audio","sync-handler","sync","W4","node|handler|keychain|media-output|provider-audit","ELEVENLABS_API_KEY","elevenlabs","elevenlabs/elevenlabs",""
"elevenlabs-sfx","ElevenLabs Sound Effects","audio-gen","elevenlabs","audio","sync-handler","sync","W4","node|handler|keychain|media-output|provider-audit","ELEVENLABS_API_KEY","elevenlabs","elevenlabs/elevenlabs",""
"elevenlabs-sts","ElevenLabs Speech-to-Speech","audio-gen","elevenlabs","audio","sync-handler","sync","W4","node|handler|keychain|media-output|provider-audit","ELEVENLABS_API_KEY","elevenlabs","elevenlabs/elevenlabs",""
"elevenlabs-stt","ElevenLabs STT","audio-gen","elevenlabs","text","sync-handler","sync","W4","node|handler|keychain|provider-audit","ELEVENLABS_API_KEY","elevenlabs","elevenlabs/elevenlabs",""
"elevenlabs-tts","ElevenLabs TTS","audio-gen","elevenlabs","audio","sync-handler","sync","W4","node|handler|keychain|media-output|provider-audit","ELEVENLABS_API_KEY","elevenlabs","elevenlabs/elevenlabs",""
"fal-universal","FAL","universal","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit|intent","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"fast-sdxl","Fast SDXL","image-gen","fal","image","async-registry","sync","W3","node|handler|keychain|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"flux-1-1-ultra","FLUX 1.1 Ultra","image-gen","fal","image","async-registry","async-poll","W3","node|handler|async-poll|dual-route|keychain|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"flux-2-pro","FLUX 2 Pro","image-gen","fal","image","async-registry","async-poll","W3","node|handler|async-poll|keychain|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"flux-fill-inpaint","FLUX Fill (Inpaint)","image-gen","fal","image","async-registry","async-poll","W3","node|handler|async-poll|keychain|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"flux-kontext","FLUX Kontext","image-gen","fal","image","async-registry","async-poll","W3","node|handler|async-poll|keychain|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"flux-schnell","FLUX Schnell","image-gen","fal","image","async-registry","sync","W3","node|handler|keychain|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"frame-extractor","Frame Extractor","transform","utility","image","local-engine","sync","W0","node|local-handler","","","","no-backend-test"
"gemini-chat","Gemini","text-gen","google","text","async-registry","stream","W2","node|handler|stream|keychain|provider-audit","GOOGLE_API_KEY","","google/gemini-nano-banana","handler-file-unclear"
"gemini-embeddings","Gemini Embeddings","utility","google","text","sync-handler","sync","W2","node|handler|keychain|provider-audit","GOOGLE_API_KEY","google_gemini","google/gemini-nano-banana",""
"gemini-tts","Gemini TTS","audio-gen","google","audio","sync-handler","sync","W2","node|handler|keychain|media-output|provider-audit","GOOGLE_API_KEY","google_gemini","google/gemini-nano-banana",""
"gpt-4o-chat","OpenAI Chat","text-gen","openai","text","async-registry","stream","W1","node|handler|stream|keychain|provider-audit","OPENAI_API_KEY","","fal/openai-passthroughs|openai/dalle-3|openai/gpt-image-1","handler-file-unclear"
"gpt-image-1-5","GPT Image 1.5","image-gen","fal","image","async-registry","async-poll","W3","node|handler|async-poll|keychain|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"gpt-image-1-5-edit","GPT Image 1.5 Edit","image-gen","fal","image","async-registry","async-poll","W3","node|handler|async-poll|keychain|provider-audit","FAL_KEY","openai_image_v2","fal/fal-universal|fal/flux|fal/kling",""
"gpt-image-1-edit","GPT Image 1 Edit","image-gen","openai","image","sync-handler","sync","W1","node|handler|keychain|provider-audit|intent","OPENAI_API_KEY","openai_image_edit","fal/openai-passthroughs|openai/dalle-3|openai/gpt-image-1",""
"gpt-image-1-generate","GPT Image 1","image-gen","openai","image","sync-handler","sync","W1","node|handler|keychain|provider-audit|intent","OPENAI_API_KEY","openai_image","fal/openai-passthroughs|openai/dalle-3|openai/gpt-image-1",""
"gpt-image-2-edit","GPT Image 2 Edit","image-gen","openai","image","async-registry","stream","W1","node|handler|stream|keychain|provider-audit|intent","OPENAI_API_KEY","","fal/openai-passthroughs|openai/dalle-3|openai/gpt-image-1","handler-file-unclear"
"gpt-image-2-fal-edit","GPT Image 2 Edit (FAL)","image-gen","fal","image","async-registry","stream","W3","node|handler|stream|keychain|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"gpt-image-2-fal-generate","GPT Image 2 (FAL)","image-gen","fal","image","async-registry","stream","W3","node|handler|stream|keychain|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"gpt-image-2-generate","GPT Image 2","image-gen","openai","image","async-registry","stream","W1","node|handler|stream|keychain|provider-audit|intent","OPENAI_API_KEY","","fal/openai-passthroughs|openai/dalle-3|openai/gpt-image-1","handler-file-unclear"
"grok-imagine-video","Grok Imagine Video","video-gen","xai","video","async-registry","async-poll","W4","node|handler|async-poll|keychain|media-output|provider-audit","XAI_API_KEY","grok_video","xai/grok-imagine-video",""
"higgsfield","Higgsfield","video-gen","higgsfield","video","async-registry","async-poll","W4","node|handler|async-poll|keychain|media-output|provider-audit","HIGGSFIELD_API_KEY","higgsfield","higgsfield/higgsfield",""
"hunyuan3d-image-to-3d","Hunyuan3D V3 Image-to-3D","3d-gen","fal","3d","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"hunyuan3d-text-to-3d","Hunyuan3D V3 Text-to-3D","3d-gen","fal","3d","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"ideogram-character","Ideogram Character","image-gen","fal","image","async-registry","async-poll","W3","node|handler|async-poll|dual-route|keychain|provider-audit","IDEOGRAM_API_KEY | FAL_KEY","","fal/fal-universal|fal/flux|fal/kling","handler-file-unclear"
"ideogram-describe","Ideogram Describe","analyzer","ideogram","text","async-registry","sync","W6","node|handler|keychain","IDEOGRAM_API_KEY","","","handler-file-unclear|no-provider-audit"
"ideogram-edit","Ideogram Edit (Inpaint)","image-gen","fal","image","async-registry","async-poll","W3","node|handler|async-poll|dual-route|keychain|provider-audit","IDEOGRAM_API_KEY | FAL_KEY","","fal/fal-universal|fal/flux|fal/kling","handler-file-unclear"
"ideogram-edit-prompt","Ideogram Edit (Prompt)","image-gen","ideogram","image","async-registry","async-poll","W6","node|handler|async-poll|keychain","IDEOGRAM_API_KEY","","","handler-file-unclear|no-provider-audit"
"ideogram-layerize","Ideogram Layerize Text","transform","ideogram","image","async-registry","sync","W6","node|handler|keychain","IDEOGRAM_API_KEY","","","handler-file-unclear|no-provider-audit"
"ideogram-magic-prompt","Ideogram Magic Prompt","text-gen","ideogram","text","async-registry","sync","W6","node|handler|keychain","IDEOGRAM_API_KEY","","","handler-file-unclear|no-provider-audit"
"ideogram-reframe","Ideogram Reframe (Outpaint)","transform","fal","image","async-registry","async-poll","W3","node|handler|async-poll|dual-route|keychain|provider-audit","IDEOGRAM_API_KEY | FAL_KEY","","fal/fal-universal|fal/flux|fal/kling","handler-file-unclear"
"ideogram-remix","Ideogram Remix","image-gen","fal","image","async-registry","async-poll","W3","node|handler|async-poll|dual-route|keychain|provider-audit","IDEOGRAM_API_KEY | FAL_KEY","","fal/fal-universal|fal/flux|fal/kling","handler-file-unclear"
"ideogram-remove-background","Ideogram Remove BG","transform","ideogram","image","async-registry","sync","W6","node|handler|keychain","IDEOGRAM_API_KEY","","","handler-file-unclear|no-provider-audit"
"ideogram-replace-background","Ideogram Replace Background","image-gen","fal","image","async-registry","async-poll","W3","node|handler|async-poll|dual-route|keychain|provider-audit","IDEOGRAM_API_KEY | FAL_KEY","","fal/fal-universal|fal/flux|fal/kling","handler-file-unclear"
"ideogram-train-model","Ideogram Train Model","image-gen","ideogram","text","async-registry","async-poll","W6","node|handler|async-poll|keychain","IDEOGRAM_API_KEY","","","handler-file-unclear|no-provider-audit"
"ideogram-transparent","Ideogram Transparent","image-gen","ideogram","image","async-registry","async-poll","W6","node|handler|async-poll|keychain","IDEOGRAM_API_KEY","","","handler-file-unclear|no-provider-audit"
"ideogram-upscale","Ideogram Upscale","transform","fal","image","async-registry","async-poll","W3","node|handler|async-poll|dual-route|keychain|provider-audit","IDEOGRAM_API_KEY | FAL_KEY","","fal/fal-universal|fal/flux|fal/kling","handler-file-unclear"
